0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140
1,-1.303,-0.83573,-1.9336,-2.0942,-2.0284,-1.2531,-0.52638,-0.089286,-0.07557,0.37087,0.56642,0.54261,0.66121,0.62479,0.74207,0.7677,0.81974,0.83575,0.76076,0.81097,0.81676,0.88772,0.89175,0.87736,0.88914,0.86543,0.89386,0.89202,0.85169,0.85788,0.83076,0.84067,0.86144,0.85443,0.80275,0.81368,0.82726,0.80169,0.8109,0.81251,0.76062,0.85654,0.82028,0.84261,0.89254,0.87871,0.91693,0.92075,0.93077,0.92411,0.89324,0.89059,0.86815,0.85874,0.83566,0.86056,0.80957,0.80882,0.81247,0.78027,0.74263,0.76955,0.70106,0.71235,0.74905,0.6885,0.65564,0.63433,0.63424,0.61954,0.60554,0.60386,0.63192,0.64381,0.62249,0.54083,0.57724,0.56744,0.54524,0.48595,0.43449,0.44157,0.29382,0.37885,0.30169,0.29476,0.17389,0.15492,0.13691,0.10333,0.064526,-0.0054644,-0.0094918,-0.042242,0.023538,-0.0029253,0.040752,0.080134,0.10304,0.18246,0.17621,0.21094,0.20356,0.12882,0.1211,0.060584,-0.036151,-0.15962,-0.36932,-0.48888,-0.72672,-0.99073,-1.1306,-1.2867,-1.242,-1.2872,-1.3569,-1.3886,-1.5454,-1.503,-1.6047,-1.5636,-1.6109,-1.6647,-1.8351,-1.849,-1.8306,-1.7803,-1.7431,-1.4555,-1.4582,-1.6676,-1.5977,-1.6793,-1.6772,-1.6937,-1.7941,-1.3594,-2.0812,-2.8288
2,0.32288,-0.87847,-1.8023,-2.6685,-3.2655,-3.3326,-2.88,-2.2274,-1.5436,-0.97706,-0.76983,-0.70974,-0.28113,0.15679,0.38162,0.46802,0.43842,0.37023,0.23492,0.18923,0.24149,0.30124,0.29042,0.282,0.23152,0.23147,0.23528,0.14181,0.22672,0.17502,0.17585,0.18336,0.092464,0.0053768,-0.078705,0.0331,0.10339,-0.051258,0.0029613,-0.033993,-0.14975,-0.10829,-0.22718,-0.1594,-0.20009,-0.25992,-0.27642,-0.33333,-0.36568,-0.32052,-0.2559,-0.29253,-0.17949,-0.16856,-0.20365,-0.097215,-0.079759,-0.059643,0.019866,0.066975,0.12712,0.20428,0.25474,0.39822,0.42781,0.42162,0.47939,0.40572,0.39225,0.45919,0.47891,0.43304,0.5417,0.52859,0.50463,0.44518,0.41205,0.43953,0.55098,0.56046,0.53834,0.5664,0.5597,0.5327,0.60353,0.64395,0.656,0.7483,0.71818,0.7214,0.7414,0.68545,0.73037,0.78486,0.82626,0.79222,0.75102,0.8351,0.85234,0.81151,0.90389,0.98836,0.87212,0.90944,0.96901,0.94702,0.96925,0.96811,1.031,1.0236,0.98695,0.97388,0.83435,0.91798,0.89487,0.98121,0.77954,0.60109,0.51678,0.43719,0.44818,0.30539,0.15175,-0.045591,-0.25836,-0.33189,-0.35901,-0.29597,-0.26956,-0.69683,-1.2305,-1.7218,-2.1953,-2.7489,-3.4465,-3.6621,-3.0182,-1.6514,-0.2367,0.82832
2,1.3934,1.5926,1.242,0.79449,0.19577,-0.3156,-0.58053,-0.94502,-1.2335,-1.3179,-1.3282,-1.1427,-0.85536,-0.50753,-0.21569,-0.13837,-0.1421,-0.035537,0.28042,0.51453,0.53823,0.55477,0.53627,0.49089,0.49694,0.57934,0.64473,0.59247,0.53083,0.47033,0.45692,0.52115,0.51159,0.49617,0.55631,0.56821,0.5357,0.4952,0.4352,0.45055,0.46012,0.43045,0.46246,0.47138,0.45746,0.39763,0.31637,0.32207,0.32718,0.32928,0.34536,0.31628,0.30538,0.32634,0.28996,0.22585,0.2208,0.23477,0.24809,0.24939,0.16131,0.11029,0.16623,0.16998,0.14591,0.14076,0.088785,0.057097,0.088409,0.088185,0.055678,0.069079,0.11565,0.11426,0.063366,0.07994,0.16417,0.19978,0.18189,0.19994,0.26512,0.29106,0.26579,0.28773,0.32439,0.3207,0.38925,0.45445,0.41159,0.44576,0.51821,0.46258,0.49753,0.57299,0.49482,0.49563,0.53861,0.5427,0.57705,0.58938,0.61854,0.62773,0.6347,0.64032,0.57703,0.59612,0.67918,0.61694,0.55551,0.60792,0.61381,0.60917,0.59986,0.56488,0.50019,0.3676,0.28932,0.25419,0.26139,0.22714,0.024193,-0.12737,-0.19262,-0.31587,-0.54165,-0.76463,-0.79023,-0.82569,-1.1135,-1.4764,-1.9085,-2.5295,-3.0614,-3.5037,-3.9004,-4.246,-4.1338,-3.1985,-2.422,-1.0737
1,-3.5227,-5.0261,-4.3613,-4.1057,-3.1042,-1.8178,-1.3984,-1.0701,-0.40691,-0.2678,-0.22567,-0.29459,-0.17663,-0.18777,-0.19646,-0.13372,-0.16795,-0.18707,-0.11136,-0.16066,-0.21886,-0.25888,-0.25794,-0.35207,-0.41271,-0.40929,-0.47057,-0.35898,-0.45973,-0.53768,-0.58698,-0.60378,-0.58035,-0.63102,-0.67307,-0.57797,-0.58204,-0.59255,-0.46873,-0.43539,-0.32198,-0.28924,-0.22582,-0.17307,-0.11836,-0.033835,0.052454,0.014458,0.011943,0.029111,0.11302,0.097927,0.0097399,0.097481,0.032082,0.12525,0.053519,0.10327,0.16788,0.096668,0.10197,0.19776,0.2466,0.27402,0.33105,0.31801,0.23564,0.38729,0.45716,0.43044,0.48595,0.48228,0.48955,0.58138,0.63195,0.49396,0.55822,0.47727,0.46342,0.43103,0.50492,0.45554,0.41559,0.42373,0.40313,0.43387,0.41414,0.40804,0.40774,0.27992,0.32751,0.35093,0.3315,0.46125,0.63076,0.74827,0.92911,1.0544,1.2353,1.2945,1.5687,1.7036,1.6061,1.5861,1.5873,1.3821,1.1945,0.96238,0.8369,0.56481,0.27801,-0.06689,-0.15102,-0.13651,-0.19678,-0.1613,-0.17972,-0.18722,-0.23825,-0.23132,-0.23304,-0.24635,-0.16764,-0.10242,-0.22879,-0.16076,-0.14332,-0.070402,0.25943,0.63877,0.83038,1.0084,1.183,0.94636,0.95213,0.79343,0.84741,1.0139,0.31234,-2.1906
1,-1.9182,-3.2251,-3.4652,-4.008,-3.8703,-3.3581,-2.2854,-1.7285,-1.4222,-0.89887,-0.53819,-0.62751,-0.66393,-0.57033,-0.53109,-0.58764,-0.5794,-0.5854,-0.51963,-0.56812,-0.59811,-0.45864,-0.4824,-0.49757,-0.54754,-0.5965,-0.4929,-0.47874,-0.57125,-0.50545,-0.49044,-0.49744,-0.47791,-0.56175,-0.49613,-0.56496,-0.53351,-0.44147,-0.49832,-0.40248,-0.35223,-0.20589,-0.24439,-0.2258,-0.12637,-0.1424,-0.079891,-0.12759,-0.057818,0.037925,0.10632,-0.00030421,-0.020594,0.012166,0.030756,-0.082842,0.028944,-0.0031888,-0.035161,-0.057965,0.024281,0.11234,0.14603,0.15011,0.13169,0.056684,0.10024,0.21022,0.24603,0.23116,0.2737,0.37793,0.32436,0.28848,0.38684,0.43705,0.45,0.42145,0.51368,0.55504,0.58427,0.47524,0.38943,0.38913,0.4485,0.52328,0.48341,0.3928,0.45995,0.38865,0.45335,0.53852,0.47532,0.50801,0.60386,0.76803,0.96152,1.0338,1.2349,1.4614,1.7458,2.008,2.0043,1.9547,1.8747,1.6915,1.4877,1.3655,1.1282,0.97613,0.71257,0.4309,0.21238,0.16481,0.15334,0.11062,0.13443,0.12413,0.092813,0.12983,0.18816,0.13241,0.15633,0.19567,0.23698,0.28418,0.25881,0.3157,0.65309,1.3535,1.7769,1.5029,1.1651,0.46073,0.019172,-0.32739,-0.48051,-0.18814,0.14284,-0.66844
1,1.2386,0.71184,-1.569,-2.9139,-3.8507,-4.1037,-3.0143,-1.9535,-1.5812,-0.77304,0.055899,-0.062556,-0.021901,-0.00069031,-0.17618,-0.18165,-0.19353,-0.16947,-0.2604,-0.21157,-0.36751,-0.42333,-0.33541,-0.37513,-0.4002,-0.60107,-0.60491,-0.71537,-0.68097,-0.75292,-0.78838,-0.77942,-0.88823,-1.0399,-1.0624,-0.98794,-1.0234,-1.2272,-1.1462,-1.1998,-1.0203,-0.88935,-0.82901,-0.78366,-0.63132,-0.48048,-0.50095,-0.22847,-0.28425,-0.28393,-0.12734,-0.11595,-0.078277,-0.013447,0.0092684,-0.10807,-0.016068,0.11252,0.22873,0.22744,0.15739,0.086921,0.19706,0.1144,0.21086,0.26041,0.27326,0.36472,0.45438,0.37989,0.44184,0.43623,0.58046,0.60191,0.55598,0.7055,0.56532,0.66042,0.65125,0.64302,0.58328,0.5159,0.56793,0.53856,0.51572,0.52937,0.45439,0.50742,0.36062,0.51198,0.47644,0.49015,0.546,0.42625,0.41359,0.37936,0.38859,0.42034,0.4165,0.33555,0.41903,0.69927,1.1923,1.3141,1.4916,1.5966,1.8534,2.396,2.3785,2.4297,2.0295,1.8971,1.7207,1.269,0.73464,0.06001,-0.47348,-0.4954,-0.57718,-0.47687,-0.50904,-0.53317,-0.47456,-0.48624,-0.46028,-0.35673,-0.32446,-0.35558,-0.30494,-0.32841,-0.34182,-0.32094,0.20594,1.1274,0.94609,1.2445,1.2959,0.87969,0.23098,-0.068487
1,-2.2719,-2.1857,-1.7571,-3.2943,-4.2508,-4.36,-4.1195,-3.6525,-3.0495,-2.1979,-1.6747,-1.2679,-0.71417,-0.2697,0.031938,0.14719,0.21219,0.26323,0.28227,0.36058,0.44123,0.4353,0.5209,0.53652,0.60948,0.62944,0.65687,0.71929,0.6664,0.66328,0.76841,0.69071,0.72785,0.70818,0.72919,0.67724,0.68344,0.59091,0.58539,0.49128,0.44151,0.35466,0.32235,0.1903,0.10003,0.04381,-0.010595,0.00051468,0.028867,-0.028675,0.0083426,-0.05973,9.67E-05,0.068118,0.10632,0.063755,0.16313,0.14151,0.2008,0.20418,0.15607,0.22386,0.2369,0.2208,0.234,0.16776,0.10067,0.14379,0.095682,0.022543,0.023539,0.050224,0.053488,0.057079,0.021174,0.0014649,0.021894,0.042788,0.0031633,0.014965,0.016972,0.052047,0.04998,0.033333,0.048757,0.062118,0.048022,0.061812,-0.00097862,0.11777,0.1278,0.051197,0.016551,0.084148,0.088613,0.096995,0.075184,0.091281,0.10821,0.013367,0.076374,0.10525,0.099999,0.23483,0.32744,0.4638,0.57832,0.73943,0.96887,1.1668,1.4311,1.4119,1.3718,1.1724,1.0385,0.75374,0.51024,0.21508,-0.084944,-0.29506,-0.28533,-0.28796,-0.30466,-0.30105,-0.32994,-0.29502,-0.21468,-0.2515,-0.23029,-0.22552,-0.19146,-0.02938,0.45756,0.77509,0.7945,1.0132,0.87331,0.61313,0.78811,1.1088
1,2.304,1.308,-0.93451,-2.5413,-4.0119,-4.3023,-3.3182,-1.9793,-1.8995,-1.2917,-0.041834,-0.11406,-0.035462,-0.12219,-0.008632,-0.18996,-0.16021,-0.18999,-0.20459,-0.082667,-0.21412,-0.24678,-0.27685,-0.35046,-0.3559,-0.55266,-0.46612,-0.53656,-0.50641,-0.7321,-0.74783,-0.807,-0.95765,-1.1071,-1.0803,-1.1647,-1.1897,-1.2497,-1.3154,-1.2681,-1.195,-1.1352,-1.1318,-1.0457,-0.94296,-0.63754,-0.52866,-0.35398,-0.32105,-0.24409,-0.18079,-0.029229,-0.057768,-0.043542,0.064905,0.077582,0.11625,0.11235,0.15689,0.083675,0.10326,0.26094,0.18636,0.20469,0.27288,0.30493,0.40338,0.38122,0.30349,0.37515,0.46266,0.42937,0.44898,0.46274,0.47995,0.45042,0.55421,0.59176,0.56702,0.55246,0.56173,0.55709,0.51013,0.54122,0.36299,0.44347,0.3594,0.38097,0.33044,0.35127,0.28098,0.1923,0.41359,0.17002,0.19311,0.18447,0.17691,0.085651,0.24493,0.16723,0.31822,0.40704,0.40714,0.60072,0.86932,0.76765,1.0059,1.3775,1.3518,1.1111,0.96511,0.72268,0.68463,0.75109,0.79318,0.58324,0.22117,-0.21729,-0.35533,-0.3305,-0.18947,-0.15815,-0.16719,-0.056289,-0.18292,-0.16641,-0.19848,-0.12788,-0.10089,-0.098991,0.063561,0.40578,0.99387,1.0698,1.7078,2.2713,2.6332,2.4328,1.5211,2.1866
2,-1.0181,-1.5484,-0.96366,-0.70092,-0.96366,-1.0047,-0.74579,-0.69993,-0.90919,-0.96761,-0.85472,-0.82673,-0.85472,-0.7219,-0.52791,-0.50944,-0.63685,-0.6736,-0.58238,-0.50748,-0.52791,-0.53968,-0.47344,-0.37023,-0.36451,-0.43866,-0.47344,-0.35926,-0.2011,-0.15142,-0.25557,-0.34762,-0.31004,-0.1713,-0.092165,-0.10413,-0.14663,-0.1545,-0.2011,-0.31326,-0.41898,-0.38322,-0.25557,-0.19327,-0.31004,-0.4819,-0.52791,-0.36623,-0.14663,-0.046943,-0.14663,-0.32899,-0.47344,-0.52195,-0.52791,-0.5093,-0.47344,-0.39255,-0.31004,-0.27153,-0.31004,-0.34023,-0.31004,-0.25938,-0.31004,-0.41029,-0.41898,-0.30372,-0.25557,-0.34538,-0.41898,-0.30794,-0.14663,-0.14402,-0.31004,-0.43303,-0.41898,-0.33716,-0.31004,-0.33465,-0.36451,-0.34999,-0.31004,-0.25784,-0.2011,-0.098177,0.07124,0.30191,0.50699,0.60164,0.56146,0.51956,0.61592,0.85269,1.0517,1.1237,1.1606,1.3166,1.5419,1.6881,1.7053,1.7714,2.0321,2.4286,2.6857,2.6375,2.3589,2.1261,2.0866,2.1779,2.1955,2.0846,1.9232,1.8272,1.7598,1.6584,1.4874,1.2968,1.1061,0.95416,0.8338,0.69996,0.50699,0.29147,0.12571,0.030819,-0.092165,-0.40111,-0.90919,-1.3409,-1.4539,-1.453,-1.6718,-1.8386,-1.4539,-0.92934,-1.236,-2.0173,-1.5083,0.90662
1,-0.89225,-3.1441,-4.0933,-4.4088,-4.0377,-3.4966,-2.3785,-1.6039,-1.3638,-0.70472,-0.45062,-0.408,-0.38895,-0.34452,-0.33809,-0.4122,-0.36398,-0.3445,-0.44025,-0.36023,-0.41335,-0.44737,-0.38155,-0.46559,-0.5013,-0.43993,-0.54362,-0.56711,-0.58151,-0.57594,-0.66331,-0.67482,-0.65235,-0.66833,-0.63409,-0.58315,-0.61189,-0.5625,-0.50982,-0.55374,-0.45492,-0.33838,-0.19675,-0.18148,-0.076234,0.020161,0.028603,0.041608,0.13083,0.10187,0.13321,0.04237,0.069387,0.11993,0.12765,0.027817,0.1237,0.095723,0.1514,0.19174,0.071737,0.1378,0.12243,0.12105,0.16243,0.2316,0.25255,0.33574,0.44286,0.37083,0.47034,0.4675,0.48494,0.54809,0.56491,0.56545,0.51332,0.47283,0.63455,0.6226,0.57857,0.57264,0.57867,0.5074,0.51218,0.43053,0.4288,0.46487,0.44118,0.48686,0.39831,0.41507,0.38973,0.48109,0.51195,0.55046,0.72767,0.78688,0.93992,1.0939,1.1791,1.4588,1.6296,1.8618,1.8453,1.7164,1.6312,1.4913,1.1802,0.97972,0.74752,0.47369,0.13112,-0.133,-0.14554,-0.21877,-0.18091,-0.22568,-0.22097,-0.30182,-0.25608,-0.2274,-0.3468,-0.23214,-0.18709,-0.23168,-0.17241,-0.20462,-0.12015,0.27318,0.76315,0.97548,1.0017,1.3031,1.2598,0.91522,0.68106,0.81774,1.1981,-0.15146
